country_name,country_code,capital,population,area_km2,ip,ip_country,ip_city,ip_timezone,forecast_time,temperature_c,precipitation_probability
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-21 00:00:00,24.9,100
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-21 01:00:00,24.9,78
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-21 02:00:00,24.7,49
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-21 03:00:00,24.7,33
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-21 04:00:00,24.9,43
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-21 05:00:00,24.7,65
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-21 06:00:00,24.9,84
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-21 07:00:00,25.0,93
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-21 08:00:00,24.9,97
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-21 09:00:00,25.0,100
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-21 10:00:00,25.1,100
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-21 11:00:00,25.2,100
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-21 12:00:00,25.4,100
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-21 13:00:00,25.6,100
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-21 14:00:00,26.1,100
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-21 15:00:00,26.3,100
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-21 16:00:00,26.1,100
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-21 17:00:00,25.9,98
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-21 18:00:00,25.9,92
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-21 19:00:00,25.6,76
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-21 20:00:00,25.3,55
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-21 21:00:00,25.0,39
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-21 22:00:00,24.8,34
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-21 23:00:00,24.6,35
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-22 00:00:00,24.5,37
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-22 01:00:00,24.4,38
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-22 02:00:00,24.2,40
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-22 03:00:00,23.9,39
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-22 04:00:00,23.9,33
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-22 05:00:00,23.8,24
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-22 06:00:00,23.9,20
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-22 07:00:00,24.2,24
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-22 08:00:00,24.6,33
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-22 09:00:00,25.5,41
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-22 10:00:00,26.5,46
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-22 11:00:00,27.3,51
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-22 12:00:00,28.1,55
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-22 13:00:00,29.5,59
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-22 14:00:00,29.1,63
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-22 15:00:00,28.1,65
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-22 16:00:00,28.0,66
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-22 17:00:00,27.6,65
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-22 18:00:00,26.8,63
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-22 19:00:00,25.4,58
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-22 20:00:00,24.8,53
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-22 21:00:00,24.5,51
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-22 22:00:00,24.4,57
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-22 23:00:00,24.3,67
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-23 00:00:00,24.1,76
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-23 01:00:00,23.9,83
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-23 02:00:00,23.7,89
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-23 03:00:00,23.7,94
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-23 04:00:00,23.6,97
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-23 05:00:00,23.6,97
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-23 06:00:00,23.6,98
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-23 07:00:00,23.7,98
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-23 08:00:00,24.1,98
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-23 09:00:00,24.5,98
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-23 10:00:00,24.9,98
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-23 11:00:00,24.9,98
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-23 12:00:00,25.1,98
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-23 13:00:00,25.4,97
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-23 14:00:00,25.4,96
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-23 15:00:00,26.3,94
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-23 16:00:00,26.7,92
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-23 17:00:00,26.8,90
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-23 18:00:00,26.5,86
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-23 19:00:00,26.0,79
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-23 20:00:00,25.7,70
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-23 21:00:00,25.3,63
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-23 22:00:00,25.1,59
Korea (Republic of),KOR,Seoul,51780579,100210.0,8.8.8.8,United States,Ashburn,America/New_York,2026-07-23 23:00:00,24.9,57
